date,closing_price,fear_greed_index,pageviews,ITB Sentiment Score,Bitcoin_Normalized,galaxy_score,santiment
2023-06-30,30477.251953125,56.0,10676,-0.5495086923658352,11.789752536021192,40,-1.080653911433
2023-07-01,30590.078125,59.0,8005,-0.4337031167459059,10.461329715061057,42,-1.047814092714
2023-07-02,30620.76953125,63.0,8775,-0.4281967213114754,10.461329715061057,41,-1.014506788756
2023-07-03,31156.439453125,62.0,9328,-0.3917525773195876,12.621442687747034,42,-0.981191801273
2023-07-04,30777.58203125,64.0,11738,-0.3920076117982873,12.443675889328064,43,-0.951252561304
2023-07-05,30514.166015625,61.0,9392,-0.5284823284823285,11.5548418972332,43,-0.920903827072
2023-07-06,29909.337890625,56.0,9536,-0.3989234449760765,12.621442687747034,42,-0.893443640856
2023-07-07,30342.265625,55.0,10113,-0.2219512195121951,11.199308300395256,43,-0.874263779782
2023-07-08,30292.541015625,58.0,7006,-0.5884353741496599,11.021541501976287,42,-0.844435497837
2023-07-09,30171.234375,55.0,7113,-0.5130641330166271,10.310474308300394,42,-0.817808532982
2023-07-10,30414.470703125,56.0,9997,-0.4013819095477386,10.870580808080808,42,-0.786580150161
2023-07-11,30620.951171875,57.0,9290,-0.2915241353097682,11.032828282828284,42,-0.760201256673
2023-07-12,30391.646484375,64.0,10027,-0.2075746540422432,10.708333333333332,42,-0.734527416123
2023-07-13,31476.048828125,57.0,8074,-0.4952262349522623,11.68181818181818,45,-0.707540131121
2023-07-14,30334.068359375,60.0,7294,-0.2786020441806792,12.493055555555555,42,-0.689147994492
2023-07-15,30295.806640625,56.0,6529,-0.4861181221605249,11.032828282828284,42,-0.682757216307
2023-07-16,30249.1328125,57.0,6412,-0.5085646780862374,10.059343434343434,44,-0.658970171692
2023-07-17,30145.888671875,54.0,8231,-0.5755894590846047,10.546085858585858,42,-0.629964951598
2023-07-18,29856.5625,56.0,7957,-0.5835453774385072,10.383838383838384,44,-0.611163357323
2023-07-19,29913.923828125,50.0,7624,-0.5171641791044777,10.383838383838384,43,-0.579837129178
2023-07-20,29792.015625,56.0,7101,-0.4085192697768762,10.546085858585858,42,-0.567003663761
2023-07-21,29908.744140625,50.0,7525,-0.4104384133611691,10.221590909090908,42,-0.54588158417
2023-07-22,29771.802734375,52.0,6634,-0.5246338215712384,8.761363636363637,42,-0.588660625444
2023-07-23,30084.5390625,54.0,7115,-0.5058339052848319,9.24810606060606,43,-0.568077155788
2023-07-24,29176.916015625,55.0,8451,-0.559040590405904,10.304245283018869,43,-0.543738491342
2023-07-25,29227.390625,50.0,8029,-0.6124343964473153,9.835870497427102,42,-0.517613037184
2023-07-26,29354.97265625,51.0,8066,-0.570509648688768,9.679745568896513,42,-0.49438797163
2023-07-27,29210.689453125,51.0,8129,-0.4861932938856015,9.367495711835334,43,-0.469715106729
2023-07-28,29319.24609375,52.0,7546,-0.5398138572905895,9.523620640365923,43,-0.443113847831
2023-07-29,29356.91796875,52.0,7911,-0.3841145833333333,8.899120926243567,42,-0.420739078632
2023-07-30,29275.30859375,52.0,6825,-0.4566395663956639,8.58687106918239,43,-0.392471243665
2023-07-31,29230.111328125,50.0,7961,-0.5419771485345256,10.18269865727493,42,-0.363709383988
2023-08-01,29675.732421875,53.0,8439,-0.5006119951040392,10.352410301562845,43,-0.337692568565
2023-08-02,29151.958984375,53.0,7588,-0.5060116798351082,10.691833590138677,42,-0.30657314662
2023-08-03,29178.6796875,52.0,8302,-0.6383243467440896,9.503852080123266,42,-0.277403482122
2023-08-04,29074.091796875,54.0,7189,-0.5792230467044959,10.52212194585076,42,-0.254705197788
2023-08-05,29042.126953125,50.0,6985,-0.471345029239766,9.673563724411183,42,-0.217279870226
2023-08-06,29041.85546875,49.0,6621,-0.4970607446113651,9.164428791547437,43,-0.180790602966
2023-08-07,29180.578125,49.0,7973,-0.4682539682539682,10.936972631887883,43,-0.1059534093
2023-08-08,29765.4921875,54.0,6962,-0.5465549348230913,11.879815100154085,43,1.331151380802
2023-08-09,29561.494140625,50.0,7354,-0.440110142267095,11.691246606500844,42,1.20210660634
2023-08-10,29429.591796875,53.0,8137,-0.4863049095607235,11.314109619194364,42,0.916607451046
2023-08-11,29397.71484375,51.0,7715,-0.4222903885480573,11.314109619194364,42,0.76264421539
2023-08-12,29415.96484375,54.0,6737,-0.5943877551020408,10.371267150928167,42,-0.090545784524
2023-08-13,29282.9140625,54.0,6828,-0.5607798165137615,10.371267150928167,42,0.675834403663
2023-08-14,29408.443359375,50.0,7907,-0.463458110516934,8.508978675645341,42,2.309563140122
2023-08-15,29170.34765625,53.0,8705,-0.5100548446069469,8.508978675645341,42,0.702819111153
2023-08-16,28701.779296875,52.0,8613,-0.4970760233918128,8.508978675645341,42,0.834070886902
2023-08-17,26664.55078125,50.0,10431,-0.3833810888252149,10.672278338945004,42,-0.015721029012
2023-08-18,26049.556640625,37.0,14452,-0.3699705593719333,14.421997755331088,42,-0.547122097765
